model,averageDistance
simplernn1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.6451327808128315
lstm1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.6347318419766586
gru1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.6331591564837304
simplernn1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.618292828682733
lstm1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.8037038837881125
gru1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.62076415815729
simplernn3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.865973051694582
lstm3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.729212822038299
gru3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.745191264720594
simplernn3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.6650527978019385
lstm3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.445523014778766
gru3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.9858316431687197
simplernn3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.7898178471202146
lstm3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.782277435279318
gru3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.7250013006201805
simplernn3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.75758577485546
lstm3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.4385166828121463
gru3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.0341526444499607
simplernn3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,3.079921303027137
lstm3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.700237106817222
gru3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,2.7347319761429514
simplernn3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.840829965699388
lstm3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,3.4263785342488977
gru3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,2.994584340730189
