model,time
simplernn1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,29.01
lstm1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,52.54
gru1_units_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,47.76
simplernn1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,33.47
lstm1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,48.52
gru1_units_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,52.96
simplernn3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,49.62
lstm3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,98.86
gru3_units_32_32_32_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,92.05
simplernn3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,45.74
lstm3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,107.08
gru3_units_32_32_32_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,117.61
simplernn3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,54.46
lstm3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,118.95
gru3_units_16_32_64_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,153.51
simplernn3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,72.7
lstm3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,146.38
gru3_units_16_32_64_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,181.25
simplernn3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,66.25
lstm3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,149.87
gru3_units_64_32_16_Optimizer_RMSprop_Loss_mae_Epochs_500_BatchSize_100,134.57
simplernn3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,76.02
lstm3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,161.52
gru3_units_64_32_16_Optimizer_SGD_Loss_mae_Epochs_500_BatchSize_100,131.22
